
5GrwvaEF5zXb26Fz9rcQpDWS57CtERHpNehXCPcNoHGKutQY,ring,15.01487525,crab

JHpowhae8GjdZnasAgpEGoQjphV3LebF1LZWxw6iGWTdQwN,ring,10.72819714,kusama
JHpowhae8GjdZnasAgpEGoQjphV3LebF1LZWxw6iGWTdQwN,kton,5.01126913,kusama
JKz75z9c6zNFmv48tasq4ymFgRgNHzDXwmdb3SfuQ8S9jXU,ring,10.88122023,kusama
5GrwvaEF5zXb26Fz9rcQpDWS57CtERHpNehXCPcNoHGKutQY,kton,15.01487525,crab

GPBvccyirqrQnQPZy3Pe8wYTiNRvJzWzA3uKBf6fhVRjhRk,ring,33.59366957,kusama
FeztniuS5dBAnZqHRLocakWBBck9tbLYJBLcH6JbfWFycgb,kton,0.00537076,kusama
FFQRJ5oRjPUsoCkgVDiMdxF6gQxsHP2FAUKHp2rqScBehPS,ring,338.07383657,kusama

EQPMCHDfPVmP2tqrY75P92SsuxsAXcpCQTwaTPA6TWMdc8y,kton,0.01239604,kusama
ErGjFs4dYcpYzKpaPA9gRrVhvc7yqMoGRt6pdNU6cefQ5g9,ring,338.07383657,kusama
ErGjFs4dYcpYzKpaPA9gRrVhvc7yqMoGRt6pdNU6cefQ5g9,kton,0.01352295,kusama
EUiHQspwyXbn3tK8po4zJJZijNbgY6QgcNmAhfCTk7UPeQu,ring,109.20321546,kusama
